ingredient_id,display_name,source_count,top_similarity,Energy,Energy,Energy,Energy,Carbohydrate,"Sugars, Total",Fiber,Total Sugars,Fiber (AOAC 2011.25),Total fat,Cholesterol,"Fatty acids, total saturated",DHA,EPA,ALA,Protein,"Vitamin A, RAE",Vitamin E,Vitamin D (D2 + D3),Vitamin E,Vitamin C,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,Choline,Vitamin K2 MK-4,Vitamin K1,Vitamin E,Vitamin A,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Iodine,Manganese,Molybdenum,Selenium
apple_pie_spice,Apple Pie Spice,1,0.26285727441264095,342.0,342.0,342.0,342.0,69.28,,14.8,7.76,,12.6,0.0,6.53,0.0,0.0,,5.76,13.0,1.93,0.0,1.93,23.4,0.131,0.137,2.243,,0.4,24.0,0.0,20.8,,28.4,1.93,,682.0,19.71,136.0,118.0,663.0,52.0,2.37,0.484,,15.844,,9.3
apricot,Apricot,3,1.2538019923864296,46.50643432122371,46.50643432122371,46.50643432122371,46.50643432122371,10.82625,6.25,1.8366666666666667,9.24,,0.395,0.0,0.027,0.0,0.0,,1.25375,96.0,0.89,0.0,0.89,7.690333333333334,0.03,0.04,0.6,0.24,0.054,9.0,0.0,2.8,,3.3,0.89,,12.530000000000001,0.31446666666666667,9.627666666666666,22.83666666666667,249.79999999999998,0.6666666666666666,0.18276666666666666,0.07071333333333334,,0.065305,,0.1
apricot_brandy,Apricot Brandy,1,0.7588376607361252,231.0,231.0,231.0,231.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.004,0.013,,0.001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,,,,0.0
arepa,Arepa,1,0.0,267.0,267.0,267.0,267.0,30.47,,2.4,3.25,,14.0,53.0,9.083,0.0,0.0,,5.66,62.0,0.54,0.8,0.54,0.8,0.176,0.205,1.755,,0.087,60.0,0.19,42.5,,3.3,0.54,,82.0,2.31,28.0,132.0,202.0,399.0,0.74,0.124,,,,10.1
argan_oil,Argan Oil,5,0.4043723837194882,837.8,837.8,837.8,837.8,0.6719999999999999,,0.0,,,99.28,0.0,68.858,0.0,0.0,0.02,0.0,,0.11,,0.11,,,,,,,,,,0.0,0.6,0.11,,1.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,,0.0,,
aronia_berry,Aronia Berry,1,0.0,63.0,63.0,63.0,63.0,15.38,,,,,0.41,0.0,0.034,,,,1.4,12.0,1.0,,1.0,181.0,0.05,0.05,0.3,0.398,0.066,,0.0,,,,1.0,,55.0,1.54,24.0,59.0,322.0,2.0,0.27,0.086,,0.256,,
arrowhead,Arrowhead,1,1.2903289030305427,99.0,99.0,99.0,99.0,20.23,,,,,0.29,0.0,,,,,5.33,0.0,,0.0,,1.1,0.17,0.073,1.65,0.599,0.26,14.0,0.0,,,,,,10.0,2.57,51.0,174.0,922.0,22.0,0.28,0.171,,0.36,,0.7
arrowroot,Arrowroot,1,1.2613409208476223,64.77055449330784,64.77055449330784,64.77055449330784,64.77055449330784,13.39,,1.3,,,0.2,0.0,0.039,,,,4.24,1.0,,0.0,,1.9,0.143,0.059,1.693,0.292,0.266,338.0,0.0,,,,,,6.0,2.22,25.0,98.0,454.0,26.0,0.63,0.121,,0.174,,0.7
artichoke,Artichoke,2,1.55,61.0,61.0,61.0,61.0,6.92,,3.5500000000000003,1.33,,3.41,0.0,0.853,0.0,0.0,,2.4699999999999998,1.0,0.19,0.0,0.19,11.7,0.072,0.066,1.046,0.338,0.116,68.0,0.0,34.4,,14.8,0.19,,44.0,0.94,60.0,90.0,370.0,197.0,0.49,0.231,,0.256,,0.2
arugula,Arugula,1,1.2799598433474422,25.0,25.0,25.0,25.0,3.65,,1.6,2.05,,0.66,0.0,0.086,0.0,0.0,,2.58,119.0,0.43,0.0,0.43,15.0,0.044,0.086,0.305,0.437,0.073,97.0,0.0,15.3,,108.6,0.43,,160.0,1.46,47.0,52.0,369.0,27.0,0.47,0.076,,0.321,,0.3
asiago_cheese,Asiago Cheese,5,0.38562802864140683,390.6,390.6,390.6,390.6,2.018,,0.0,0.41600000000000004,,31.052,93.4,18.1126,0.0004,0.0092,,25.74,292.4,0.636,0.6,0.636,0.0,0.014599999999999998,0.32219999999999993,0.0648,,0.0714,10.8,2.662,15.219999999999999,,1.6600000000000001,0.636,,881.8,0.182,32.0,565.6,82.6,340.8,4.126,0.04379999999999999,,,,28.939999999999998
asian_pear,Asian Pear,2,0.6943082781308473,42.0,42.0,42.0,42.0,10.65,,3.6,7.05,,0.23,0.0,0.012,0.0,0.0,,0.5,0.0,0.12,0.0,0.12,3.8,0.009,0.01,0.219,0.07,0.022,8.0,0.0,5.1,,4.5,0.12,,4.0,0.0,8.0,11.0,121.0,0.0,0.02,0.05,,0.06,,0.1
asparagus,Asparagus,3,1.2301031602073627,21.386730047801148,21.386730047801148,21.386730047801148,21.386730047801148,4.287066666666667,,2.0276666666666667,1.88,,0.15209999999999999,0.0,0.04,0.0,0.0,,1.9458333333333335,38.0,1.13,0.0,1.13,6.7843333333333335,0.11825000000000001,0.141,1.0113333333333332,0.274,0.09793333333333333,95.5,0.0,16.0,,41.6,1.13,,22.86,1.5745333333333333,13.926666666666668,52.63333333333333,227.16666666666666,2.1533333333333333,0.5585,0.16983333333333336,,0.15383333333333335,,2.3
astragalus_root,Astragalus Root,5,0.5443426784535981,76.72084130019121,76.72084130019121,76.72084130019121,76.72084130019121,17.666,,1.8,4.512,,0.53,0.0,0.14100000000000001,0.0,0.0,,1.652,0.0,0.26,0.0,0.26,5.0,0.031,0.0324,0.61,0.251,0.19240000000000002,15.8,0.0,28.8,,0.10000000000000002,0.26,,26.0,0.68,34.6,44.8,365.0,27.8,0.336,0.1664,,0.2306,,0.7
avocado,Avocado,4,1.2278254146163077,173.2957858030593,173.2957858030593,173.2957858030593,173.2957858030593,8.505875,,6.733333333333333,0.54,,16.259999999999998,0.0,2.126,0.0,0.0,0.111,1.943125,7.0,2.0366666666666666,0.0,2.0366666666666666,7.2,0.06966666666666667,0.13433333333333333,1.796,1.4260000000000002,0.2421,94.925,0.0,14.199999999999998,,21.0,2.0366666666666666,,12.865,0.580825,29.95,50.095,513.35,5.5,0.6049,0.208725,,0.16253333333333334,,0.4000000000000001
avocado_oil,Avocado Oil,1,0.7257719959512136,884.0,884.0,884.0,884.0,0.0,,0.0,,,100.0,,11.56,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
bacon,Bacon,3,0.7911935071725964,393.0,393.0,393.0,393.0,0.0,,0.0,0.3499999999999999,,37.13,66.0,12.615,0.005,0.004,0.217,13.660000000000002,11.0,0.43,0.4000000000000001,0.43,0.0,0.276,0.081,4.022,0.555,0.266,0.0,0.5,47.79999999999999,,0.0,0.43,,6.0,0.38000000000000006,13.0,166.0,201.0,751.0,1.14,0.046000000000000006,,0.012000000000000002,,20.1
bagel,Bagel,5,1.55,254.3357552581262,254.3357552581262,254.3357552581262,254.3357552581262,49.706,,4.0600000000000005,6.106,,1.5160000000000002,1.2,0.0,0.0,0.0,,10.206,0.0,0.9239999999999998,0.0,0.9239999999999998,2.1,0.40775,0.22,3.59375,0.4465,0.1922,77.25,0.0,11.375,,1.275,0.9239999999999998,,91.8,2.228,59.5,153.5,167.0,433.4,1.205,0.19024999999999997,,1.6099999999999999,,28.25
baharat,Baharat,4,0.0,336.6988527724666,336.6988527724666,336.6988527724666,336.6988527724666,67.6175,,30.875,2.58,,13.235000000000001,0.0,7.37875,0.0,0.0,0.011,6.67,11.75,1.16,0.0,1.16,16.75,0.16675,0.08574999999999999,1.64825,0.358,0.1895,39.333333333333336,0.0,9.9,,15.6,1.16,,557.5,8.0975,151.75,142.0,736.0,30.25,3.115,0.5755,,12.82725,,2.466666666666667
bak_kut_teh_spice,Bak Kut Teh Spice,5,0.0,314.214913957935,314.214913957935,314.214913957935,314.214913957935,57.136,,24.68,6.25,,8.623999999999999,0.0,1.48,0.0,0.0,0.387,10.532,538.6666666666666,21.566666666666666,0.0,21.566666666666666,3.8599999999999994,0.22999999999999998,0.44366666666666665,5.9433333333333325,0.9790000000000001,1.1729999999999998,55.5,0.0,53.666666666666664,,336.96666666666664,21.566666666666666,,370.2,16.560000000000002,209.33333333333334,279.3333333333333,1201.0,2953.0,4.046666666666667,1.0143333333333333,,5.619,,22.63333333333333
